DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Shape_Area,,,,,
S01008478,Stenhouse and Saughton Mains - 06,City of Edinburgh,844,568,1465,2,3,5,22,18%,156,1654,16%,91,1225,155,165,181,163,24%,9%,111,1326,75%,5.28,97,6%,5%,2159,2.08,3.52,2.61,3.1,5.71,3.64,9.42,5.53,8.28,0%,3848,38,456,1205,166,6,21%,1%,996,4121.962698,327571.9384,,,,,
S01008479,Stenhouse and Saughton Mains - 07,City of Edinburgh,768,528,1898,2,3,6,28,15%,115,2248,12%,64,2138,140,86,82,120,22%,0%,121,1961,72%,4.93,156,3%,4%,1139,1.26,2.51,2.72,2.07,6.15,4.26,10.5,7.26,10.71,0%,4305,47,607,673,107,11,14%,1%,1985,2465.008401,149007.4674,,,,,
S01008480,Stenhouse and Saughton Mains - 08,City of Edinburgh,641,474,2178,2,4,7,32,13%,83,2688,8%,39,3272,125,95,72,110,18%,14%,99,2612,68%,4.79,123,0%,2%,1248,2.9,2.06,3.57,2.56,6.33,5.8,9.3,10.04,14.79,0%,2447,53,822,348,137,3,23%,0%,801,1578.95768,80909.45393,,,,,
S01008481,Longstone and Saughton - 01,City of Edinburgh,1619,1247,2503,2,4,8,36,10%,169,3291,6%,78,4048,120,69,416,103,13%,14%,131,2494,73%,4.82,179,6%,6%,951,1.93,1.34,3.29,1.98,4.94,4.55,5.16,6.75,8.62,0%,5708,203,1251,112,123,16,13%,2%,2408,3191.935762,337472.0149,,,,,
S01008482,Longstone and Saughton - 02,City of Edinburgh,623,385,2330,2,4,7,34,16%,100,2064,12%,46,2203,120,73,95,83,22%,7%,105,2573,84%,5.25,125,4%,3%,2208,2.48,2.28,3.61,2.9,4.24,3.06,7.26,7.53,5.35,0%,4883,14,228,3002,77,22,13%,4%,1817,1710.477466,91619.52627,,,,,
S01008483,Longstone and Saughton - 03,City of Edinburgh,612,416,1466,2,3,5,22,19%,118,1537,15%,62,1453,130,201,84,88,18%,11%,118,2180,71%,4.59,121,8%,13%,1505,3.76,3.9,5.23,2.58,5.89,4.22,14.87,11.75,9.43,0%,1576,23,381,1609,69,5,12%,1%,2951.5,1498.194725,63507.3045,,,,,
S01008484,Longstone and Saughton - 04,City of Edinburgh,787,507,3855,3,6,12,56,7%,57,4169,7%,34,3858,80,79,57,123,20%,3%,94,3459,81%,5.07,97,1%,5%,2729,2.91,3.49,4.83,1.76,5.45,3.45,12.96,11.26,8.65,0%,2798,13,167,3898,74,19,10%,3%,2957,2407.4416,176313.765,,,,,
S01008485,Longstone and Saughton - 05,City of Edinburgh,867,543,5702,5,9,17,82,4%,36,5382.5,3%,15,5970,55,26,15,74,13%,0%,66,5713,87%,5.13,82,2%,9%,3636,1.81,3.5,4.68,2.57,5.46,2.31,11.36,10.19,5.75,0%,3977,13,152,4158.5,112,11,11%,1%,3009,2190.456582,228523.7528,,,,,
S01008486,Slateford and Chesser - 01,City of Edinburgh,846,527,2977,3,5,9,43,13%,109,2702,8%,42,3336,105,88,134,74,21%,9%,102,2881,87%,6.08,88,2%,11%,4831,2.15,3.96,3.48,3.32,6.91,3.37,11.29,9.09,8.58,0%,2609,53,623,639,102,12,12%,1%,2711,2805.374519,258025.0457,,,,,
S01008487,Slateford and Chesser - 02,City of Edinburgh,894,720,5624,5,9,17,81,3%,26,6005,2%,15,6401,50,32,24,50,15%,3%,59,5873,89%,6.07,43,2%,14%,5831,2.1,4.84,2.61,3.71,6.72,2.44,12.87,7.9,7.02,0%,3019,45,499,1009,209,16,28%,2%,374,3575.584113,267562.0498,,,,,
S01008488,Slateford and Chesser - 03,City of Edinburgh,857,618,4162,3,6,12,60,11%,92,3216,6%,39,3971,85,62,73,101,15%,3%,89,3868,91%,6,91,0%,4%,4868,0.94,3.43,2.19,1.76,5.48,2.09,8.28,5.2,5.02,0%,6306,27,319,2073,114,19,15%,2%,1595,1846.377254,100449.4487,,,,,
S01008489,Slateford and Chesser - 04,City of Edinburgh,610,428,2796,3,5,9,41,11%,69,3085,11%,48,2361,115,83,165,98,22%,6%,93,2681,77%,5.22,110,1%,11%,2830,3.11,4.56,3.53,2.8,5.18,3.47,9.27,7.46,7.89,0%,2881,11,183,3677,66,17,11%,3%,2644,1596.576381,95744.97883,,,,,
S01008490,Slateford and Chesser - 05,City of Edinburgh,912,672,3937,3,6,12,57,9%,84,3598,7%,45,3809,70,75,35,86,15%,7%,78,4489,74%,5.8,68,0%,7%,3859,1.18,3.01,2.76,1.29,4.98,2.1,7.44,7.84,5.85,0%,6141,44,478,1106,184,51,21%,6%,551,1356.526181,88226.27782,,,,,
S01008491,Slateford and Chesser - 06,City of Edinburgh,986,765,4061,3,6,12,59,7%,65,4410,5%,41,4454,70,128,34,106,11%,4%,82,4504,79%,0,82,6%,2%,1621,1.99,2.8,3.11,1.99,4.32,2.02,6.23,8.91,5.34,0%,5866,25,257,2659,176,46,19%,5%,692,1764.685237,92887.83728,,,,,
S01008492,Gorgie West - 01,City of Edinburgh,1341,1126,3154,3,5,10,46,12%,157,2977,9%,97,3169,125,47,54,144,15%,8%,93,3062,73%,5.29,103,3%,5%,2124,2.56,2.74,2.41,3.35,4.07,1.99,4.63,8.33,4.68,0%,5825,22,166,3915,161,40,17%,4%,1011,1414.163983,74847.33905,,,,,
S01008493,Gorgie West - 02,City of Edinburgh,1052,763,2517,2,4,8,37,11%,116,3148,11%,82,2482,125,157,122,95,22%,5%,101,2315,83%,4.96,78,5%,6%,2736,2.02,4.15,2.32,3.38,4.31,3,8.18,4.63,6.02,0%,4630,65,616,652,180,27,23%,3%,563,2890.767987,178472.2424,,,,,
S01008494,Gorgie West - 03,City of Edinburgh,1024,828,1663,2,3,5,24,13%,137,2594,14%,115,1677,140,175,187,157,19%,3%,94,2001,70%,5,99,16%,2%,955,1.5,3.73,1.92,2.55,4.52,2.63,8.25,4.17,5.14,0%,5777,85,831,334,193,102,28%,15%,82,4074.652758,270628.1214,,,,,
S01008495,Gorgie West - 04,City of Edinburgh,971,875,2801,3,5,9,41,7%,67,4296,7%,64,3608,90,84,42,121,12%,6%,56,4643,0%,0,75,50%,3%,362,2.29,3.98,1.19,3.37,2.85,2.24,6.68,3.29,5.35,0%,6276,27,282,2411,371,155,42%,17%,9,1554.982613,100496.9779,,,,,
S01008496,Gorgie West - 05,City of Edinburgh,1027,918,4423,4,7,13,64,7%,67,4428,5%,43,4753,55,95,32,108,12%,5%,70,5238,0%,0,51,14%,2%,2656,2.72,3.3,0.82,3.21,2.86,1.98,6.89,2.11,5.32,0%,6679,32,316,2103,360,187,38%,20%,11,905.8486817,34585.48585,,,,,
S01008497,Gorgie East - 01,City of Edinburgh,944,850,5001,4,8,15,72,6%,57,4596,5%,42,4636,50,78,117,86,15%,13%,56,5450,0%,0,63,22%,5%,4433,2.82,2.97,1.14,3.02,3.1,2.03,6.14,3.07,6.14,0%,6508,16,172,3836.5,289,159,37%,20%,12,1441.150012,47945.65798,,,,,
S01008498,Gorgie East - 02,City of Edinburgh,889,749,2612,2,4,8,38,11%,101,3072,11%,80,2493,125,186,157,139,18%,9%,73,2695,81%,4.57,75,3%,3%,2207,2.94,1.86,1.58,2.61,1.67,2.97,3.15,3.45,5.62,0%,6755,34,387,1572,270,110,35%,14%,32,2221.70409,185583.1018,,,,,
S01008499,Gorgie East - 03,City of Edinburgh,1068,951,4216,4,7,13,61,8%,90,3810,7%,65,3777,85,51,77,61,12%,0%,58,5103,0%,0,54,15%,3%,3683,2.03,1.83,1.4,1.41,2.37,2.3,3.13,4.42,5.23,0%,6909,22,209,3273,372,123,37%,12%,33,2728.057528,150200.5375,,,,,
S01008500,Gorgie East - 04,City of Edinburgh,486,421,1073,1,2,4,16,21%,104,1250,18%,74,968,190,316,489,167,19%,0%,173,505,80%,5.07,128,13%,8%,1854,2.7,2.61,1.86,1.65,3.02,2.66,4.92,5.71,6.39,0%,6409,22,459,1191,124,7,31%,2%,271,570.6834449,15548.97425,,,,,
S01008501,Gorgie East - 05,City of Edinburgh,661,568,5879,5,9,17,85,5%,35,4888,4%,22,5254,45,56,41,94,8%,0%,38,6588,0%,0,31,0%,2%,4479,3.03,2.94,1.63,1.85,3.27,2.35,5.66,5.13,6.38,0%,6307,6,92,5282,92,11,15%,2%,1686,966.8545422,23719.91484,,,,,
S01008502,Shandon - 01,City of Edinburgh,719,642,6194,5,9,18,89,2%,16,6360,1%,9,6795,25,25,0,45,9%,13%,30,6935,0%,0,36,11%,3%,3284,2.68,3.41,1.49,3.53,3.54,1.93,7.14,4.91,4.37,0%,6017,15,211,3235,160,46,25%,7%,277,924.721379,28440.28809,,,,,
S01008503,Shandon - 02,City of Edinburgh,945,804,6464,5,10,19,93,3%,30,5877.5,2%,13,6723,25,13,41,63,11%,0%,42,6864,86%,0,25,6%,7%,3934,2.6,2.32,2.28,2.24,3.69,1.78,4.91,6.51,4.25,0%,6491,13,139,4367,127,39,15%,5%,1199,1584.4326,46493.51031,,,,,
S01008504,Shandon - 03,City of Edinburgh,1120,825,6780,5,10,20,98,2%,23,6453,3%,21,6149,25,22,0,44,11%,3%,42,6897,95%,6.35,26,3%,16%,6671,3.05,2.88,3.04,2.04,3.98,2.27,7.15,8.87,6.27,0%,5249,22,199,3420,113,46,10%,4%,2328,2099.029975,88637.36978,,,,,
S01008505,Shandon - 04,City of Edinburgh,726,515,6957,5,10,20,100,2%,15,6447,2%,8,6739,30,10,0,90,13%,4%,64,6596,0%,6.17,22,2%,20%,6748,3.17,2.61,2.8,1.58,3.53,2.34,6.49,8.13,6.59,0%,5835,3,42,6336,35,22,5%,3%,4507,1218.963915,42273.1135,,,,,
S01008506,Shandon - 05,City of Edinburgh,918,553,6554,5,10,19,94,3%,27,5992,2%,12,6306,45,170,15,126,17%,9%,69,5072,0%,6.38,16,0%,16%,6928,4.34,2.55,3.15,1.73,2.74,3.46,6.34,7.28,8.06,3%,4654,10,110,4927,81,28,10%,4%,2503,2307.276783,189703.6434,,,,,
S01008507,Shandon - 06,City of Edinburgh,964,798,6400,5,10,19,92,3%,31,5858,3%,22,5936,40,54,101,68,15%,0%,55,6067,90%,6,27,0%,4%,5878,3.88,1.77,2.65,2.43,3.63,3.13,4.36,6.61,7.6,0%,5740,22,231,2966,74,26,10%,3%,2683.5,1987.276104,110563.358,,,,,
S01008508,Craiglockhart - 01,City of Edinburgh,870,534,6923,5,10,20,100,1%,11,6794.5,1%,4,6942,25,13,0,82,11%,0%,51,6836,93%,6.24,16,0%,23%,6813,5.25,4.09,2.35,2.66,3.21,4.62,7.6,6.81,11.01,0%,3295,10,116,4821,20,6,2%,1%,6491,3944.001751,208874.7765,,,,,
S01008509,Craiglockhart - 02,City of Edinburgh,983,566,6624,5,10,19,95,2%,17,6592,2%,10,6618,35,35,16,47,13%,6%,58,6496,0%,6.78,25,0%,29%,6950,5.4,4.61,1.61,3.7,3.75,5.54,8.25,5.64,12.24,0%,2619,23,237,2906,61,6,6%,1%,5040,4040.931935,366495.4002,,,,,
S01008510,Craiglockhart - 03,City of Edinburgh,907,586,6539,5,10,19,94,2%,15,6636,2%,13,6381.5,35,12,17,71,11%,3%,51,6638,0%,6.44,31,0%,12%,6717,2.64,4.87,3.4,4.02,5.8,3.28,8.37,7.31,7.06,0%,2527,21,235,2937,55,11,6%,1%,4797,3588.873379,244910.896,,,,,
S01008511,Craiglockhart - 04,City of Edinburgh,941,537,6547,5,10,19,94,1%,13,6757,1%,7,6808.5,30,114,93,60,10%,10%,60,6489,0%,5,21,0%,31%,6734,3.32,3.83,2.83,3.92,4.12,4.92,6.28,6.45,9.05,2%,2617,35,377,1633,18,6,2%,1%,6591,6297.01255,665474.6176,,,,,
S01008512,Craiglockhart - 05,City of Edinburgh,522,320,6888,5,10,20,99,0%,0,6969,1%,3,6908,20,21,0,46,12%,0%,53,6881,0%,6.29,13,0%,27%,6899,3.39,3.27,3.28,4.4,3.53,4.32,7.68,8.14,9.04,0%,3006,9,175,3797,6,2,1%,0%,6834,1880.31413,144533.1046,,,,,
S01008513,Craiglockhart - 06,City of Edinburgh,805,453,6859,5,10,20,99,1%,10,6806,1%,5,6881,40,24,0,106,13%,0%,59,6330,0%,5.5,30,0%,30%,6775,2.91,2.41,3.61,3.54,2.72,5.7,7.33,8.23,14.51,6%,3034,9,113,4880,23,4,3%,1%,6145,3845.812659,336905.7925,,,,,
S01008514,Morningside and Craighouse - 01,City of Edinburgh,993,563,5576,4,8,16,80,3%,34,5751,4%,24,4990,50,32,53,130,16%,3%,60,5430,0%,5.88,17,4%,21%,6830,4.61,4.15,3.97,3.14,5.05,5.18,8.39,8.26,9.08,1%,1736,20,204,3346,21,9,2%,1%,6360,4108.204095,588492.0806,,,,,
S01008515,Morningside and Craighouse - 02,City of Edinburgh,819,548,6836,5,10,20,98,2%,13,6668,1%,4,6934,20,5,17,52,9%,0%,50,6929,94%,6.47,14,0%,21%,6902,4.12,3.35,3.32,2.82,5.13,4.41,6.28,6.11,6.99,0%,3049,15,186,3624,35,14,5%,2%,5130,1521.448509,94673.02743,,,,,
S01008516,Morningside and Craighouse - 03,City of Edinburgh,1063,796,4844,4,7,14,70,5%,56,4898,6%,47,4172,50,70,83,52,16%,3%,61,5512,90%,5.57,37,0%,8%,5513,5.4,3.41,3.38,3.94,4.66,4.46,5.82,5.77,6.64,0%,2574,14,133,4496,205,94,23%,10%,259,2106.351443,82754.69621,,,,,
S01008517,Morningside and Craighouse - 04,City of Edinburgh,914,672,6768,5,10,20,98,3%,28,5935,2%,14,6430,40,33,13,49,13%,3%,49,6514,90%,6.25,17,5%,8%,6271,4.24,1.87,1.8,2.52,5.95,2.89,3.38,3.57,4.51,0%,5665,10,111,4919,110,18,13%,2%,2189,1867.550266,125467.4064,,,,,
S01008518,Morningside and Craighouse - 05,City of Edinburgh,905,603,6944,5,10,20,100,1%,9,6877,1%,8,6819,25,64,16,72,10%,3%,60,6724,95%,6.11,13,1%,28%,6850,2.98,2.94,2.91,1.74,6.3,4,5.48,5.31,6.18,0%,4514,10,112,4907,60,19,7%,2%,4209,1839.345538,95651.19897,,,,,
S01008519,Greenbank and The Braids - 01,City of Edinburgh,835,509,6873,5,10,20,99,1%,11,6774,2%,8,6744,25,9,19,41,10%,0%,64,6815,0%,6.38,12,0%,32%,6968,3.05,3.74,3.64,1.94,6.24,4.79,7.3,7.19,8.15,0%,3002,9,109,4950,35,13,4%,2%,5406,2236.184767,129800.3831,,,,,
S01008520,Greenbank and The Braids - 02,City of Edinburgh,1089,619,6796,5,10,20,98,1%,13,6815,2%,10,6719.5,20,13,0,53,10%,4%,61,6877,95%,6.42,13,1%,40%,6940,2.37,2.63,4.1,2.98,7.69,5.28,8.8,9.55,10.22,0%,2444,18,167,3895,24,1,2%,0%,6688,6662.368248,507695.7291,,,,,
S01008521,Greenbank and The Braids - 03,City of Edinburgh,916,523,6699,5,10,20,97,2%,14,6692,1%,8,6755,20,12,0,50,8%,7%,48,6937,0%,6.44,17,0%,26%,6947,3.44,4.74,3.51,3.18,6.48,6.66,8.25,7.95,9.08,0%,1684,9,100,5126,17,4,2%,0%,6685,2816.670187,373188.7673,,,,,
S01008522,Greenbank and The Braids - 04,City of Edinburgh,515,319,6543,5,10,19,94,1%,7,6765,1%,2,6953,25,21,0,45,13%,10%,44,6850,0%,6.45,3,0%,31%,6975,4.25,4.75,3.08,3.8,5.77,6.32,11.77,11.62,11.93,11%,1080,5,98,5152,5,0,1%,0%,6924,1918.934808,110010.6776,,,,,
S01008523,Greenbank and The Braids - 05,City of Edinburgh,1004,598,6344,5,10,19,91,1%,9,6905,1%,6,6900,15,11,0,34,11%,7%,45,6960,87%,0,10,0%,31%,6143,5.24,5.75,3.96,4.49,6.3,7.2,14.2,14.06,14.98,0%,814,8,81,5520,24,6,2%,1%,6479,2368.331752,248011.4769,,,,,
S01008524,Colinton Mains and Firrhill - 01,City of Edinburgh,911,645,1108,1,2,4,16,23%,205,1111,16%,104,1218,150,134,445,119,21%,17%,128,1351,76%,4.68,126,6%,6%,1519,4.24,4.07,2.9,2.61,5.54,8.38,11.47,9.25,13.54,0%,1440,33,367,1699,172,37,20%,4%,696,2841.025646,135399.3542,,,,,
S01008525,Colinton Mains and Firrhill - 02,City of Edinburgh,862,521,1677,2,3,5,25,21%,179,1332,14%,74,1595,150,150,112,78,20%,3%,94,2201,74%,5.09,95,3%,13%,2575,3.14,3.11,1.81,2.24,4.39,8.37,7.8,5.98,15.6,0%,3271,43,494,1033,90,13,12%,2%,2668,3439.096488,188770.6198,,,,,
S01008526,Colinton Mains and Firrhill - 03,City of Edinburgh,872,541,3272,3,5,10,47,12%,107,2835,8%,42,3431,85,98,67,88,21%,2%,79,3606,89%,5.5,88,8%,7%,3582,1.87,1.73,1.76,2.13,2.94,7.73,4.46,4.45,14.64,0%,5875,61,697,512,92,23,11%,3%,2578.5,3059.671237,258281.6524,,,,,
S01008527,Colinton Mains and Firrhill - 04,City of Edinburgh,739,508,5109,4,8,15,74,6%,44,4628,5%,23,4773,60,59,19,55,17%,2%,62,5276,87%,5.22,59,3%,8%,4016,2.54,2.65,1.31,2.5,4.42,8.83,4.33,2.87,14.55,0%,4592,13,178,3739,99,17,14%,2%,1903,1556.304003,91153.08198,,,,,
S01008528,Colinton Mains and Firrhill - 05,City of Edinburgh,691,445,4473,4,7,13,65,8%,57,3846,6%,28,3967,70,6,69,61,15%,0%,57,5535,86%,5.69,72,1%,10%,4516,3.03,3.31,1.96,3.16,4.87,8.54,6.66,5.54,16.6,0%,2713,11,161,3995.5,81,16,11%,2%,2615,1440.977419,80236.43686,,,,,
S01008529,Oxgangs - 01,City of Edinburgh,737,507,3607,3,6,11,52,9%,68,3589,9%,45,3061,90,60,59,69,16%,9%,87,3834,88%,5.46,65,7%,6%,3776,2.13,3.17,1.93,3.23,5.16,7.36,6.66,5.93,14.63,0%,3272,16,220,3117,80,33,11%,5%,1994,1985.619613,114554.5974,,,,,
S01008530,Oxgangs - 02,City of Edinburgh,708,471,596,1,1,2,9,30%,213,414,23%,106,426,160,251,658,83,20%,7%,105,1408,74%,5.11,130,5%,4%,1570,3.04,3.22,1.33,2.34,4.76,7.63,6.71,4.2,12.41,0%,3974,46,644,595,150,26,21%,4%,689,1509.189925,79070.71231,,,,,
S01008531,Oxgangs - 03,City of Edinburgh,758,478,1769,2,3,6,26,17%,129,1891,15%,72,1444,125,128,252,122,21%,3%,90,2364,84%,5.31,138,7%,4%,2127,3.6,3.52,2.21,2.34,5.3,8.16,8.94,7.08,12.67,0%,2383,27,361,1744,111,19,15%,3%,1601,2291.081466,133218.739,,,,,
S01008532,Oxgangs - 04,City of Edinburgh,463,273,2470,2,4,8,36,18%,82,1783,9%,26,2893,105,76,106,58,15%,14%,100,3389,82%,5.41,112,5%,5%,2608,3.22,3.3,1.14,3.22,5.45,7.22,7.43,3,15.48,0%,3578,17,372,1663,37,14,8%,3%,3215,1438.968949,72725.22086,,,,,
S01008533,Comiston and Swanston - 01,City of Edinburgh,258,188,4018,3,6,12,58,4%,10,5517,7%,14,3600,80,75,70,92,13%,9%,102,3912,80%,0,79,0%,8%,4093,2.15,3.22,2.35,3.92,5.58,7.26,8.73,6.83,16.32,0%,2381,18,707,503,37,1,7%,0%,4917,2379.477858,137716.6243,,,,,
S01008534,Comiston and Swanston - 02,City of Edinburgh,634,417,6346,5,10,19,91,2%,12,6530.5,2%,8,6530,35,63,22,54,12%,8%,68,6309,90%,5.96,29,1%,20%,6250,1.47,3.29,3.14,3.35,5.69,6.69,13.96,12.03,21.53,0%,1719,11,176,3781,29,0,4%,0%,6152,2139.335526,167586.1792,,,,,
S01008535,Comiston and Swanston - 03,City of Edinburgh,713,429,6494,5,10,19,94,1%,10,6748,2%,9,6348,45,63,0,38,12%,0%,71,6138,0%,6.63,29,0%,21%,6911,2.77,3.8,2.87,4.27,6.58,6.41,9.19,7.87,17.22,0%,1633,7,99,5127,15,2,2%,0%,6664,2439.306896,187636.8517,,,,,
S01008536,Comiston and Swanston - 04,City of Edinburgh,577,321,6686,5,10,20,96,2%,9,6680,2%,6,6630,45,13,0,66,15%,6%,75,5920,0%,6.6,34,0%,22%,6789,2.86,2.43,1.9,3.91,6.19,6.51,7.65,6.5,16.06,0%,2887,11,193,3507,6,8,1%,1%,6649,2068.878902,127985.9576,,,,,
S01008537,Comiston and Swanston - 05,City of Edinburgh,659,366,6755,5,10,20,97,0%,0,6969,2%,6,6669,20,0,30,60,11%,11%,50,6910,0%,6.77,20,0%,28%,6956,2.59,3.33,3.02,4.06,6.77,6.09,10.42,9.91,19.34,0%,1561,3,46,6250,15,6,2%,1%,6476,2128.084886,147394.4025,,,,,
S01008538,Comiston and Swanston - 06,City of Edinburgh,585,326,6833,5,10,20,98,1%,6,6871,1%,3,6907,30,12,0,39,14%,9%,68,6607,0%,6.2,17,0%,24%,6898,3.23,1.95,3.11,4.43,7.03,6.61,6.46,8.55,13.98,0%,2428,7,121,4730,6,9,1%,2%,6576,2786.748595,174270.5395,,,,,
S01008539,Comiston and Swanston - 07,City of Edinburgh,830,515,6467,5,10,19,93,2%,16,6517,2%,10,6541,25,0,22,64,14%,0%,52,6807,93%,6.31,12,1%,22%,6836,3.8,1.77,3.82,3.4,7,7.61,6.24,12.13,13.24,0%,2167,24,293,2307,14,14,2%,2%,6384,2986.635793,257283.1054,,,,,
S01008540,Comiston and Swanston - 08,City of Edinburgh,897,503,6724,5,10,20,97,1%,10,6837,2%,11,6328,30,8,40,68,12%,2%,47,6738,92%,5.8,21,2%,33%,6624,2.69,1.84,3.5,2.84,6.83,6.59,6.62,9.61,10.43,0%,3097,20,226,3024,12,9,1%,1%,6652,2717.135215,249354.502,,,,,
S01008541,Fairmilehead - 01,City of Edinburgh,919,530,6571,5,10,19,95,2%,16,6588,2%,9,6689,25,66,18,46,13%,0%,43,6804,95%,6.13,19,1%,17%,6735,3.85,1.95,5.08,3.3,8.35,7.18,8.34,14.2,14.83,0%,1521,9,99,5132,28,5,3%,1%,6266.5,2355.976881,133666.8237,,,,,
S01008542,Fairmilehead - 02,City of Edinburgh,1678,1011,6544,5,10,19,94,1%,18,6857,1%,14,6777,25,14,0,53,12%,2%,52,6831,95%,6.06,29,2%,16%,6551,4.2,1.91,4.81,3.54,8.12,7.89,7.77,14.24,15.28,0%,1469,24,145,4264,40,10,4%,1%,5679,3137.228434,309881.3093,,,,,
S01008543,Fairmilehead - 03,City of Edinburgh,749,458,6437,5,10,19,93,2%,13,6589,1%,5,6882,20,41,41,47,10%,9%,48,6871,94%,6.34,33,3%,22%,6649,4.95,2.66,5.79,1.97,9.39,8.35,11.17,18.34,18.97,0%,1048,7,95,5225.5,16,4,2%,1%,6600.5,2282.950789,108432.246,,,,,
S01008544,Fairmilehead - 04,City of Edinburgh,662,457,6134,5,9,18,88,2%,13,6501,1%,6,6801,20,6,0,74,9%,4%,33,6956,0%,6.21,11,2%,20%,6882,5.37,4.56,5.8,5.47,8.98,8.76,15.29,18.57,21.91,0%,599,6,92,5286.5,21,12,3%,2%,5763,2515.344201,162731.5761,,,,,
S01008545,Fairmilehead - 05,City of Edinburgh,852,502,6662,5,10,20,96,1%,5,6956,1%,3,6950,20,4,20,64,11%,0%,59,6874,0%,6.31,23,3%,34%,6826,3.47,3.38,4.64,5.82,7.69,6.68,7.97,10.31,15.45,3%,1131,0,0,6662,34,3,4%,0%,6111,4471.232071,403232.6424,,,,,
S01008546,Fairmilehead - 06,City of Edinburgh,786,426,6487,5,10,19,93,1%,10,6792,2%,7,6643,25,25,0,53,15%,0%,48,6794,0%,6.33,17,0%,22%,6925,2.93,3.44,4.23,4.77,7.5,6.21,9.7,11.36,17.49,3%,1120,7,90,5320,13,1,2%,0%,6804,5643.491007,571344.0389,,,,,
S01008547,Gilmerton South and the Murrays - 01,City of Edinburgh,1017,715,5112,4,8,15,74,4%,40,5478,3%,18,6139,50,74,0,92,13%,5%,78,5494,80%,4.94,68,5%,14%,3255,5.62,3.99,3.83,4.66,3.51,5.6,15.22,15.73,15.11,0%,1095,11,110,4943,65,7,6%,1%,4873,4479.990458,444435.9444,,,,,
S01008548,Gilmerton South and the Murrays - 02,City of Edinburgh,861,605,4792,4,7,14,69,7%,60,4268,3%,21,5535,65,23,44,46,15%,2%,78,5063,83%,5.8,88,0%,8%,4199,5.26,4.33,3.59,4.73,4.78,4.24,12.84,11.86,11.63,0%,1341,9,106,4996,65,6,8%,1%,4312,3749.549918,263104.488,,,,,
S01008549,Gilmerton South and the Murrays - 03,City of Edinburgh,1173,808,4517,4,7,13,65,6%,67,4718,5%,44,4379,70,30,41,95,20%,5%,87,4106,84%,5.34,82,3%,5%,3154,4.19,3.03,2.18,4.28,4.8,2.59,8.3,7.21,6.92,2%,3619,24,207,3297,112,23,12%,2%,2372,21197.9292,6042237.23,,,,,
S01008550,Mortonhall and Anwickhill - 01,City of Edinburgh,777,523,5647,5,9,17,81,4%,30,5531,3%,16,5797,40,0,19,55,11%,0%,57,6618,88%,6.11,51,3%,17%,5711,2.47,2.95,3.65,5.47,5.86,8.09,13.17,13.9,19.29,6%,1003,0,0,6631,49,19,6%,2%,4302,4880.907844,491633.3987,,,,,
S01008551,Mortonhall and Anwickhill - 02,City of Edinburgh,913,552,4726,4,7,14,68,5%,49,4858,5%,28,4529.5,60,41,74,62,17%,3%,73,4943,86%,5.08,52,11%,10%,3615,1.68,2.16,2.88,4.68,5.28,7.26,8.73,9.46,14.75,0%,2693,20,222,3081,104,17,11%,2%,2917,2838.127731,211237.3086,,,,,
S01008552,Mortonhall and Anwickhill - 03,City of Edinburgh,858,531,5447,4,8,16,79,3%,24,6059,3%,15,5860,50,43,78,63,16%,0%,74,5290,76%,5.48,47,1%,14%,4292,3.86,3.79,3.17,4.84,5.82,6.21,9.39,8.22,12.6,2%,1396,13,153,4124,43,12,5%,1%,5263,2898.067529,291260.9745,,,,,
S01008553,"Gracemount, Southhouse and Burdiehouse - 01",City of Edinburgh,664,394,3024,3,5,9,44,13%,84,2755,9%,35,3103,100,36,28,89,14%,0%,92,3918,68%,5.05,84,5%,9%,2026,2.67,2.11,1.19,3.02,4.16,4.64,6.81,4.55,11.12,0%,5344,24,366,1706.5,69,7,13%,1%,2289,2715.657708,141397.2283,,,,,
S01008554,"Gracemount, Southhouse and Burdiehouse - 02",City of Edinburgh,1060,676,867,1,2,3,13,25%,270,816,17%,112,1131,190,146,130,130,20%,10%,124,1056,72%,4.68,190,9%,5%,610,3.35,3.09,2.04,3.86,4.91,4.3,9.59,7.66,13.32,0%,2948,32,306,2182,288,14,26%,1%,466,3329.706551,246353.1824,,,,,
S01008555,"Gracemount, Southhouse and Burdiehouse - 03",City of Edinburgh,1063,675,880,1,2,3,13,24%,258,929,18%,118,977,180,195,208,114,19%,5%,144,1023,66%,5.17,169,2%,2%,744,3.82,2.39,1.33,3.21,3.91,5.73,7.92,4.46,11.29,0%,4351,56,524,914,235,23,23%,2%,629,2347.006293,114923.798,,,,,
