DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Shape_Area,,,,,
S01008433,Baberton and Juniper Green - 01,City of Edinburgh,806,449,6378,5,10,19,92,3%,23,6031,2%,7,6705,40,21,22,38,14%,0%,62,6353,0%,6.1,50,3%,15%,6243,4.18,2.99,3.6,4.02,3.58,4.32,14.14,10.6,12.35,0%,1998,12,151,4178,21,9,3%,1%,6268,2230.903509,173836.0207,,,,,
S01008434,Baberton and Juniper Green - 02,City of Edinburgh,940,578,6068,5,9,18,87,3%,26,6074,3%,15,6038,30,13,0,85,18%,2%,71,6372,89%,5.92,47,1%,14%,5696,4.38,2.71,3.78,3.64,3.68,4.48,12.55,10.18,12.05,0%,2209,21,226,3018,28,18,3%,2%,5488,3609.616844,200387.4483,,,,,
S01008435,Baberton and Juniper Green - 03,City of Edinburgh,789,455,6561,5,10,19,95,1%,8,6873,1%,6,6826,30,44,0,68,14%,6%,59,6556,90%,5.53,42,0%,10%,5480,4.24,2.36,3.69,3.29,3.66,4.38,10.1,10.04,12.31,0%,2812,22,282,2398,27,5,4%,1%,6094,2896.579216,295431.2253,,,,,
S01008436,Baberton and Juniper Green - 04,City of Edinburgh,993,521,6286,5,10,19,91,3%,26,6164,3%,17,5666.5,55,39,18,82,15%,4%,60,5577,95%,6.25,33,0%,25%,6759,3.61,2.83,4.1,2.99,4.38,4.86,9.41,7.72,12.9,0%,2566,9,92,5286.5,25,2,3%,0%,6435,2721.611255,236560.0861,,,,,
S01008437,Baberton and Juniper Green - 05,City of Edinburgh,765,466,5315,4,8,16,77,4%,30,5485.5,5%,21,4782,70,53,21,59,16%,5%,69,4903,89%,6,38,0%,13%,6095,2.6,4.06,3.92,2.72,5.82,6.09,8.86,6.38,13.54,8%,1791,9,119,4766,55,12,8%,2%,3910.5,2875.176657,267944.4025,,,,,
S01008438,Bonaly and The Pentlands - 01,City of Edinburgh,665,431,5697,5,9,17,82,3%,17,6190,3%,13,5759,40,52,0,68,13%,17%,65,6172,0%,6.14,40,0%,30%,6814,3.58,3.33,3.97,2.26,5,6.38,10.93,11.8,25.61,14%,1305,22,335,1937,36,2,8%,0%,4229.5,29038.59956,18303958.6,,,,,
S01008439,Bonaly and The Pentlands - 02,City of Edinburgh,1198,732,6866,5,10,20,99,2%,18,6708,1%,11,6768,30,20,14,54,10%,3%,53,6747,0%,6.41,10,0%,20%,6959,3.13,3.25,3.97,1.85,4.91,5.64,7.06,9.05,24.36,0%,2557,5,42,6330,30,5,3%,0%,6469.5,3883.040836,366898.7694,,,,,
S01008440,Bonaly and The Pentlands - 03,City of Edinburgh,999,549,6406,5,10,19,92,2%,19,6523,3%,14,6063,35,58,18,47,11%,9%,55,6541,95%,5.95,12,1%,35%,6858,4.3,2.93,3.6,2.8,5.58,6.89,7.71,9.33,23.21,0%,1725,13,132,4522,16,3,2%,0%,6769,3690.756935,334193.2688,,,,,
S01008441,Bonaly and The Pentlands - 04,City of Edinburgh,477,276,6827,5,10,20,98,1%,6,6800,1%,3,6917,25,76,33,45,11%,0%,49,6773,0%,6.38,24,0%,33%,6955,3.83,3.22,3.95,2.85,4.81,5.36,6.85,8.89,22.56,0%,2151,4,85,5412,11,8,2%,2%,6125,1751.69543,117596.621,,,,,
S01008442,Bonaly and The Pentlands - 05,City of Edinburgh,701,450,6710,5,10,20,97,1%,10,6738.5,2%,9,6443,25,0,0,77,13%,0%,44,6892,0%,5.56,16,0%,25%,6767,4.38,2.78,3.15,3.22,4.99,5.97,6.68,7.7,21.47,0%,2267,9,130,4556,17,12,3%,2%,6064,3989.609178,283895.4074,,,,,
